string,title,year,citations,source_db,doi
Secundaria,JaPOC: Japanese Post-OCR Correction Benchmark Using Vouchers,2025,1,Scopus,10.1007/978-981-96-0125-7_3
Secundaria,Post-OCR Correction of Digitized Swedish Newspapers with ByT5,2024,6,Scopus,
Secundaria,Japanese OCR error correction using character shape similarity and statistical language model,1998,16,Scopus,10.3115/980432.980721
Secundaria,"Arabic OCR error correction using character segment correction, language modeling, and shallow morphology",2006,33,Scopus,10.3115/1610075.1610132
Secundaria,Post-ocr text correction for Bulgarian historical documents,2025,5,Scopus,10.1007/s00799-025-00415-x
Secundaria,Effective Synthetic Data and Test-Time Adaptation for OCR Correction,2024,10,Scopus,10.18653/v1/2024.emnlp-main.862
Secundaria,Fine-Tuning OCR Error Detection and Correction in a Polish Corpus of Scientific Abstracts,2022,0,Scopus,10.1007/978-981-19-8234-7_35
Secundaria,A Proposal of Post-OCR Spelling Correction Using Monolingual Byte-level Language Models,2025,3,Scopus,10.1145/3704268.3748673
Secundaria,Unsupervised Multi-View Post-OCR Error Correction With Language Models,2021,15,Scopus,10.18653/v1/2021.emnlp-main.680
Terciaria,"Short Text Topic Modeling Techniques, Applications, and Performance: A Survey",2022,240,IEEE,
Terciaria,Semantic-Emotion Neural Network for Emotion Recognition From Text,2019,216,IEEE,
Terciaria,Light Gradient Boosting Machine for General Sentiment Classification on Short Texts: A Comparative Evaluation,2020,165,IEEE,
Terciaria,A Long-Text Classification Method of Chinese News Based on BERT and CNN,2022,139,IEEE,
Terciaria,Deep Learning approach for sentiment analysis of short texts,2017,137,IEEE,
Terciaria,Deep Multimodal Learning for Affective Analysis and Retrieval,2015,136,IEEE,
Terciaria,DEA-RNN: A Hybrid Deep Learning Approach for Cyberbullying Detection in Twitter Social Media Platform,2022,119,IEEE,
Terciaria,Document-Level Text Classification Using Single-Layer Multisize Filters Convolutional Neural Network,2020,92,IEEE,
Terciaria,Detecting Traffic Information From Social Media Texts With Deep Learning Approaches,2019,91,IEEE,
Terciaria,A Comparison of Semantic Similarity Methods for Maximum Human Interpretability,2019,87,IEEE,
Terciaria,Who Am I? Personality Detection Based on Deep Learning for Texts,2018,85,IEEE,
Terciaria,Aspect-Level Drug Reviews Sentiment Analysis Based on Double BiGRU and Knowledge Transfer,2020,74,IEEE,
Terciaria,Application of Deep Learning to Sentiment Analysis for recommender system on cloud,2017,63,IEEE,
Terciaria,Text Sentiment Analysis of Douban Film Short Comments Based on BERT-CNN-BiLSTM-Att Model,2024,63,IEEE,
Terciaria,A Novel Capsule Based Hybrid Neural Network for Sentiment Classification,2019,49,IEEE,
Terciaria,An Intelligent Hybrid Neural Collaborative Filtering Approach for True Recommendations,2023,49,IEEE,
Terciaria,Multi-Label Classification of Microblogging Texts Using Convolution Neural Network,2019,49,IEEE,
Terciaria,Analysis of Railway Accidents' Narratives Using Deep Learning,2018,48,IEEE,
Terciaria,Compositional Recurrent Neural Networks for Chinese Short Text Classification,2016,47,IEEE,
Terciaria,Review of Graph Neural Network in Text Classification,2021,47,IEEE,
Terciaria,Smart Contract Classification With a Bi-LSTM Based Approach,2020,44,IEEE,
Terciaria,Understanding Short Texts through Semantic Enrichment and Hashing,2016,44,IEEE,
Terciaria,Topic Modeling for Short Texts via Word Embedding and Document Correlation,2020,41,IEEE,
Terciaria,A Comparative Study on Embedding Models for Keyword Extraction Using KeyBERT Method,2023,38,IEEE,
Terciaria,Improving Term Weighting Schemes for Short Text Classification in Vector Space Model,2019,35,IEEE,
Terciaria,SAKG-BERT: Enabling Language Representation With Knowledge Graphs for Chinese Sentiment Analysis,2021,32,IEEE,
Terciaria,Leveraging Conceptualization for Short-Text Embedding,2018,31,IEEE,
Terciaria,Research on Text Classification Method Based on LSTM Neural Network Model,2021,29,IEEE,
Terciaria,Emotion Classification in Texts Over Graph Neural Networks: Semantic Representation is Better Than Syntactic,2023,28,IEEE,
Terciaria,Exploring Consumption Intent in Live E-Commerce Barrage: A Text Feature-Based Approach Using BERT-BiLSTM Model,2024,28,IEEE,
Terciaria,From Bag-of-Words to Transformers: A Comparative Study for Text Classification in Healthcare Discussions in Social Media,2025,28,IEEE,
Terciaria,UESTS: An Unsupervised Ensemble Semantic Textual Similarity Method,2019,27,IEEE,
Terciaria,BiLSTM Model With Attention Mechanism for Sentiment Classification on Chinese Mixed Text Comments,2023,26,IEEE,
Terciaria,Sentiment Classification for Chinese Text Based on Interactive Multitask Learning,2020,26,IEEE,
Terciaria,An Automatic Sentiment Analysis Method for Short Texts Based on Transformer-BERT Hybrid Model,2024,25,IEEE,
Terciaria,Graph Convolutional Network Based on Multi-Head Pooling for Short Text Classification,2022,25,IEEE,
Terciaria,Stress Detection from Social Media Articles: New Dataset Benchmark and Analytical Study,2022,25,IEEE,
Terciaria,Text Classification Research Based on Bert Model and Bayesian Network,2019,25,IEEE,
Terciaria,Topic Modeling of Short Texts: A Pseudo-Document View With Word Embedding Enhancement,2023,25,IEEE,
Terciaria,Adaptive Dense Ensemble Model for Text Classification,2022,24,IEEE,
Terciaria,Using Convolutional Neural Network with BERT for Intent Determination,2019,24,IEEE,
Terciaria,A BERT Based Approach to Measure Web Services Policies Compliance With GDPR,2021,23,IEEE,
Terciaria,An Effective Spam Message Detection Model using Feature Engineering and Bi-LSTM,2022,20,IEEE,
Terciaria,DICE: Deep Intelligent Contextual Embedding for Twitter Sentiment Analysis,2019,20,IEEE,
Terciaria,Feature-Enhanced Nonequilibrium Bidirectional Long Short-Term Memory Model for Chinese Text Classification,2020,20,IEEE,
Terciaria,Language Independent Sentiment Analysis,2020,20,IEEE,
Terciaria,Long Document Classification From Local Word Glimpses via Recurrent Attention Learning,2019,20,IEEE,
Terciaria,Research on Short Text Classification Based on RoBERTa-TextRCNN,2021,20,IEEE,
Terciaria,Enhancing User Experience on Q&A Platforms: Measuring Text Similarity Based on Hybrid CNN-LSTM Model for Efficient Duplicate Question Detection,2024,19,IEEE,
Terciaria,Generating Semantically Similar and Human-Readable Summaries With Generative Adversarial Networks,2019,19,IEEE,
Terciaria,Microblog Text Classification System Based on TextCNN and LSA Model,2020,4,Scopus,10.1109/isctt51595.2020.00090
Terciaria,Dual attention-based hybrid deep learning framework for short text classification,2025,8,Scopus,10.1007/s12530-025-09735-4
Terciaria,MBiLSTMGloVe: Embedding GloVe knowledge into the corpus using multi-layer BiLSTM deep learning model for social media sentiment analysis,2022,91,Scopus,10.1016/j.eswa.2022.117581
Terciaria,A Multimodel-Based Deep Learning Framework for Short Text Multiclass Classification with the Imbalanced and Extremely Small Data Set,2022,13,Scopus,10.1155/2022/7183207
Terciaria,AMFF: A new attention-based multi-feature fusion method for intention recognition,2021,32,Scopus,10.1016/j.knosys.2021.107525
Terciaria,Topic prediction and knowledge discovery based on integrated topic modeling and deep neural networks approaches,2021,14,Scopus,10.3233/jifs-202545
Terciaria,Understanding Sentiment Polarities and Emotion Categories of People on Public Incidents with the Relation to Government Policies,2024,6,Scopus,10.1109/tcss.2024.3403872
Terciaria,Attention-Based Recurrent Neural Networks (RNNs) for Short Text Classification: An Application in Public Health Monitoring,2019,12,Scopus,10.1007/978-3-030-20521-8_73
Terciaria,Clinical Text Classification to SNOMED CT Codes using Transformers Trained on Linked Open Medical Ontologies,2023,8,Scopus,10.26615/978-954-452-092-2_057
Terciaria,Self-Taught convolutional neural networks for short text clustering,2017,257,Scopus,10.1016/j.neunet.2016.12.008
Terciaria,Turkish tweet classification with transformer encoder,2019,28,Scopus,10.26615/978-954-452-056-4_158
Terciaria,Short text classification for Arabic social media tweets,2022,58,Scopus,10.1016/j.jksuci.2022.03.020
Terciaria,A Multi-Classification Sentiment Analysis Model of Chinese Short Text Based on Gated Linear Units and Attention Mechanism,2021,10,Scopus,10.1145/3464425
Terciaria,CEIL: A General Classification-Enhanced Iterative Learning Framework for Text Clustering,2023,3,Scopus,10.1145/3543507.3583457
Terciaria,"Integrated BERT embeddings, BiLSTM-BiGRU and 1-D CNN model for binary sentiment classification analysis of movie reviews",2022,46,Scopus,10.1007/s11042-022-13155-w
Terciaria,Global-Local Enhancement Network for Short Text Classification,2022,9,Scopus,10.1109/tcss.2021.3085994
Terciaria,A Hybrid Classification Method via Character Embedding in Chinese Short Text with Few Words,2020,20,Scopus,10.1109/access.2020.2994450
Terciaria,Domain knowledge-powered attention for air traffic management hazardous events classification,2024,4,Scopus,10.1016/j.engappai.2024.109454
Terciaria,Multi-applicable text classification based on deep neural network,2022,9,Scopus,10.1504/ijsnet.2022.10049687
Terciaria,A Drift-Sensitive Distributed LSTM Method for Short Text Stream Classification,2023,19,Scopus,10.1109/tbdata.2022.3164239
Terciaria,TextTovec: Deep contextualized neural autoregressive topic models of language with distributed compositional prior,2019,9,Scopus,
Terciaria,Chinese Short Text Sentiment Classification: Research on Transformer- TextCNN Model with Location-Aware Enhancement; [中文短文本情感分类:融入位置感知强化的 Transformer-TextCNN 模型研究],2025,3,Scopus,10.3778/j.issn.1002-8331.2403-0082
Terciaria,SpotSpam: Intention Analysis-driven SMS Spam Detection Using BERT Embeddings,2022,53,Scopus,10.1145/3538491
Terciaria,Incorporating Embedding to Topic Modeling for More Effective Short Text Analysis,2023,4,Scopus,10.1145/3543873.3587316
Terciaria,Theme and sentiment analysis model of public opinion dissemination based on generative adversarial network,2019,27,Scopus,10.1016/j.chaos.2018.11.036
Terciaria,Hawkes Process Classification through Discriminative Modeling of Text,2022,5,Scopus,10.1109/ijcnn55064.2022.9892868
Terciaria,Utilizing Natural Language Processing for Efficient Text Analysis in the Era of Social Media,2024,2,Scopus,10.1109/ccssta62096.2024.10691866
Terciaria,Automated Grading of Short Text Answers: Preliminary Results in a Course of Health Informatics,2019,6,Scopus,10.1007/978-3-030-35758-0_18
Terciaria,Short Text Embedding Autoencoders with Attention-Based Neighborhood Preservation,2020,5,Scopus,10.1109/access.2020.3042778
Terciaria,Design of Deep Learning Mixed Language Short Text Sentiment Classification System Based on CNN Algorithm,2022,13,Scopus,10.1109/icmnwc56175.2022.10031786
Terciaria,Multilingual Short Text Classification via Convolutional Neural Network,2018,9,Scopus,10.1007/978-3-030-02934-0_3
Terciaria,DiffDis: Empowering Generative Diffusion Model with Cross-Modal Discrimination Capability,2023,9,Scopus,10.1109/iccv51070.2023.01440
Terciaria,Data Quality Estimation Via Model Performance: Machine Learning as a Validation Tool,2023,4,Scopus,10.3233/shti230508
Terciaria,Curriculum learning and evolutionary optimization into deep learning for text classification,2023,3,Scopus,10.1007/s00521-023-08632-8
Terciaria,Deep Convolutional Neural Network and Character Level Embedding for DGA Detection,2024,5,Scopus,10.5220/0012605700003690
Terciaria,BERT-TriF: An inductive short text classification model for power equipment defect records,2023,6,Scopus,10.1002/eng2.12671
Terciaria,Semi-supervised Classification for Short Text Based on Multi-grained Graphs and Attention Mechanism,2024,2,Scopus,10.19678/j.issn.1000-3428.0066475
Terciaria,A Hybrid Semantic Enrichment Approach for Multi-Label Toxic Speech Detection,2025,3,Scopus,10.18280/ijsse.150310
Terciaria,Cost-effective data classification storage through text seasonal features,2024,4,Scopus,10.1016/j.future.2024.04.061
Terciaria,Imbalanced Text Sentiment Classification Based on Multi-Channel BLTCN-BLSTM Self-Attention,2023,20,Scopus,10.3390/s23042257
Terciaria,A convolutional neural network for traffic information sensing from social media text,2017,18,Scopus,10.1109/itsc.2017.8317650
Terciaria,"Problematic Webpage Identification: A Trilogy of Hatespeech, Search Engines and GPT",2023,2,Scopus,
Terciaria,Building semantic user profile for Polish Web News Portal,2018,3,Scopus,10.7494/csci.2018.19.3.2753
Terciaria,Outlier detection for improved data quality and diversity in dialog systems,2019,39,Scopus,
Terciaria,Detection of Toxic Language in Short Text Messages,2020,13,Scopus,10.1007/978-3-030-60276-5_31
Terciaria,The Classification of Scientific Abstracts Using Text Statistical Features,2022,5,Scopus,10.3233/shti220075
Terciaria,DeBERTa-based framework for detecting machine-generated content on social media: a comparative study,2026,3,Scopus,10.1186/s40537-025-01349-6
Terciaria,Multimodal deep networks for text and image-based document classification,2020,75,Scopus,10.1007/978-3-030-43823-4_35
